epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1371.04,1.91349,1.70031,1.91083,0.59875,0.45774,0.48375,0.21299,2.01901,1.79292,2.256,0.0015941,0.0015941,0.0015941
43,1403.4,1.88361,1.71045,1.92131,0.54922,0.42331,0.46189,0.22379,2.03098,1.87651,2.21792,0.0015842,0.0015842,0.0015842
44,1435.88,1.85867,1.63423,1.84048,0.68621,0.41104,0.51024,0.24927,1.9479,1.68358,2.15719,0.0015743,0.0015743,0.0015743
45,1468.37,1.83093,1.57822,1.85907,0.62226,0.46012,0.49123,0.23108,1.94468,1.74419,2.18244,0.0015644,0.0015644,0.0015644
46,1500.8,1.84108,1.58838,1.89254,0.62494,0.44785,0.48525,0.23705,2.04019,1.80504,2.23813,0.0015545,0.0015545,0.0015545
47,1533.2,1.85283,1.63635,1.90571,0.53978,0.46012,0.48979,0.22106,2.01445,1.91915,2.24289,0.0015446,0.0015446,0.0015446
48,1565.57,1.83317,1.60545,1.87874,0.6078,0.43736,0.45659,0.23225,2.03779,1.95024,2.25066,0.0015347,0.0015347,0.0015347
49,1597.93,1.87952,1.64009,1.87656,0.62245,0.45516,0.52088,0.24023,2.03707,1.8108,2.2642,0.0015248,0.0015248,0.0015248
50,1630.3,1.80301,1.61459,1.84853,0.57998,0.48288,0.5021,0.22071,2.07417,1.81501,2.26077,0.0015149,0.0015149,0.0015149
51,1662.6,1.77968,1.52712,1.82732,0.56619,0.47853,0.51538,0.2408,2.05066,1.74297,2.2584,0.001505,0.001505,0.001505
52,1695.01,1.77077,1.58003,1.81213,0.56736,0.46012,0.47845,0.23302,2.03281,2.1631,2.22953,0.0014951,0.0014951,0.0014951
53,1727.28,1.79846,1.56844,1.82272,0.61368,0.4678,0.53897,0.27831,1.92282,1.65934,2.16804,0.0014852,0.0014852,0.0014852
54,1759.65,1.80215,1.52046,1.79531,0.58038,0.47519,0.5192,0.25149,1.90839,1.64798,2.1467,0.0014753,0.0014753,0.0014753
55,1792,1.75903,1.51262,1.81456,0.54174,0.42066,0.47437,0.23309,1.98169,1.74213,2.21973,0.0014654,0.0014654,0.0014654
56,1824.34,1.7663,1.48439,1.81413,0.68128,0.48466,0.54264,0.26367,2.08261,1.72747,2.2689,0.0014555,0.0014555,0.0014555
57,1856.73,1.74274,1.50548,1.79421,0.59124,0.45399,0.50582,0.24852,2.0059,1.73685,2.1931,0.0014456,0.0014456,0.0014456
58,1889.2,1.77697,1.52563,1.83767,0.69126,0.41209,0.53968,0.25802,1.99003,1.62405,2.19365,0.0014357,0.0014357,0.0014357
59,1921.57,1.73087,1.44415,1.78937,0.65424,0.47853,0.53464,0.24064,2.0213,1.73657,2.24492,0.0014258,0.0014258,0.0014258
60,1953.93,1.77444,1.52712,1.82527,0.58044,0.51534,0.54281,0.26708,1.91254,1.67066,2.12984,0.0014159,0.0014159,0.0014159
61,1986.35,1.73159,1.44801,1.80312,0.80004,0.41718,0.56729,0.25833,1.98475,1.67278,2.17097,0.001406,0.001406,0.001406
62,2018.78,1.71717,1.4658,1.75013,0.65027,0.53374,0.59744,0.30185,1.88321,1.5237,2.09276,0.0013961,0.0013961,0.0013961
63,2051.41,1.7348,1.47579,1.78451,0.56246,0.50307,0.56339,0.28474,1.90346,1.60709,2.08438,0.0013862,0.0013862,0.0013862
64,2083.64,1.70927,1.49871,1.77441,0.69214,0.49655,0.56956,0.28799,1.91835,1.57861,2.10575,0.0013763,0.0013763,0.0013763
65,2115.89,1.6743,1.40031,1.71886,0.58409,0.50307,0.5346,0.2666,1.90542,1.65522,2.11376,0.0013664,0.0013664,0.0013664
66,2148.22,1.66398,1.39502,1.74577,0.64595,0.49693,0.55922,0.25451,1.99251,1.58965,2.19656,0.0013565,0.0013565,0.0013565
67,2180.62,1.68374,1.42974,1.74837,0.62319,0.50732,0.56464,0.26983,1.95367,1.59547,2.15753,0.0013466,0.0013466,0.0013466
68,2212.83,1.66873,1.44519,1.73353,0.63151,0.52761,0.5545,0.27358,1.93739,1.60171,2.16121,0.0013367,0.0013367,0.0013367
69,2245.07,1.69026,1.44854,1.73089,0.66873,0.53256,0.5592,0.28572,1.8637,1.60577,2.09705,0.0013268,0.0013268,0.0013268
70,2277.33,1.75453,1.51187,1.785,0.5723,0.52761,0.5517,0.25577,1.89019,1.64592,2.1079,0.0013169,0.0013169,0.0013169
