street number,street name,suburb,state,full address
66-68,UNLEY,Unley,SA,"66-68 UNLEY, Unley, SA"
70,UNLEY,Unley,SA,"70 UNLEY, Unley, SA"
72-74,UNLEY,Unley,SA,"72-74 UNLEY, Unley, SA"
76,UNLEY,Unley,SA,"76 UNLEY, Unley, SA"
78,UNLEY,Unley,SA,"78 UNLEY, Unley, SA"
8,UNLEY,Unley,SA,"8 UNLEY, Unley, SA"
80,UNLEY,Unley,SA,"80 UNLEY, Unley, SA"
80A-80B,UNLEY,Unley,SA,"80A-80B UNLEY, Unley, SA"
86-88,UNLEY,Unley,SA,"86-88 UNLEY, Unley, SA"
90,UNLEY,Unley,SA,"90 UNLEY, Unley, SA"
92,UNLEY,Unley,SA,"92 UNLEY, Unley, SA"
92-94,UNLEY,Unley,SA,"92-94 UNLEY, Unley, SA"
93A-93B,UNLEY,Unley,SA,"93A-93B UNLEY, Unley, SA"
95,UNLEY,Unley,SA,"95 UNLEY, Unley, SA"
95A,UNLEY,Unley,SA,"95A UNLEY, Unley, SA"
96,UNLEY,Unley,SA,"96 UNLEY, Unley, SA"
97,UNLEY,Unley,SA,"97 UNLEY, Unley, SA"
98,UNLEY,Unley,SA,"98 UNLEY, Unley, SA"
99,UNLEY,Unley,SA,"99 UNLEY, Unley, SA"
LOT27,UNLEY,Unley,SA,"LOT27 UNLEY, Unley, SA"
10,WINDSOR,Unley,SA,"10 WINDSOR, Unley, SA"
2,WINDSOR,Unley,SA,"2 WINDSOR, Unley, SA"
2A,WINDSOR,Unley,SA,"2A WINDSOR, Unley, SA"
4,WINDSOR,Unley,SA,"4 WINDSOR, Unley, SA"
6-10,WINDSOR,Unley,SA,"6-10 WINDSOR, Unley, SA"
181,YOUNG,Unley,SA,"181 YOUNG, Unley, SA"
183,YOUNG,Unley,SA,"183 YOUNG, Unley, SA"
185,YOUNG,Unley,SA,"185 YOUNG, Unley, SA"
187,YOUNG,Unley,SA,"187 YOUNG, Unley, SA"
189,YOUNG,Unley,SA,"189 YOUNG, Unley, SA"
191,YOUNG,Unley,SA,"191 YOUNG, Unley, SA"
193,YOUNG,Unley,SA,"193 YOUNG, Unley, SA"
195,YOUNG,Unley,SA,"195 YOUNG, Unley, SA"
202,YOUNG,Unley,SA,"202 YOUNG, Unley, SA"
204,YOUNG,Unley,SA,"204 YOUNG, Unley, SA"
206,YOUNG,Unley,SA,"206 YOUNG, Unley, SA"
207,YOUNG,Unley,SA,"207 YOUNG, Unley, SA"
208,YOUNG,Unley,SA,"208 YOUNG, Unley, SA"
209,YOUNG,Unley,SA,"209 YOUNG, Unley, SA"
210,YOUNG,Unley,SA,"210 YOUNG, Unley, SA"
211,YOUNG,Unley,SA,"211 YOUNG, Unley, SA"
212,YOUNG,Unley,SA,"212 YOUNG, Unley, SA"
213,YOUNG,Unley,SA,"213 YOUNG, Unley, SA"
214,YOUNG,Unley,SA,"214 YOUNG, Unley, SA"
214A,YOUNG,Unley,SA,"214A YOUNG, Unley, SA"
215,YOUNG,Unley,SA,"215 YOUNG, Unley, SA"
216,YOUNG,Unley,SA,"216 YOUNG, Unley, SA"
217,YOUNG,Unley,SA,"217 YOUNG, Unley, SA"
218,YOUNG,Unley,SA,"218 YOUNG, Unley, SA"
219,YOUNG,Unley,SA,"219 YOUNG, Unley, SA"
220,YOUNG,Unley,SA,"220 YOUNG, Unley, SA"
221,YOUNG,Unley,SA,"221 YOUNG, Unley, SA"
221A,YOUNG,Unley,SA,"221A YOUNG, Unley, SA"
222,YOUNG,Unley,SA,"222 YOUNG, Unley, SA"
222A,YOUNG,Unley,SA,"222A YOUNG, Unley, SA"
222B,YOUNG,Unley,SA,"222B YOUNG, Unley, SA"
222C,YOUNG,Unley,SA,"222C YOUNG, Unley, SA"
223,YOUNG,Unley,SA,"223 YOUNG, Unley, SA"
224,YOUNG,Unley,SA,"224 YOUNG, Unley, SA"
225,YOUNG,Unley,SA,"225 YOUNG, Unley, SA"
226,YOUNG,Unley,SA,"226 YOUNG, Unley, SA"
227,YOUNG,Unley,SA,"227 YOUNG, Unley, SA"
228,YOUNG,Unley,SA,"228 YOUNG, Unley, SA"
229,YOUNG,Unley,SA,"229 YOUNG, Unley, SA"
230,YOUNG,Unley,SA,"230 YOUNG, Unley, SA"
231-233,YOUNG,Unley,SA,"231-233 YOUNG, Unley, SA"
232,YOUNG,Unley,SA,"232 YOUNG, Unley, SA"
234,YOUNG,Unley,SA,"234 YOUNG, Unley, SA"
234A,YOUNG,Unley,SA,"234A YOUNG, Unley, SA"
235,YOUNG,Unley,SA,"235 YOUNG, Unley, SA"
236,YOUNG,Unley,SA,"236 YOUNG, Unley, SA"
238,YOUNG,Unley,SA,"238 YOUNG, Unley, SA"
239,YOUNG,Unley,SA,"239 YOUNG, Unley, SA"
239A,YOUNG,Unley,SA,"239A YOUNG, Unley, SA"
240,YOUNG,Unley,SA,"240 YOUNG, Unley, SA"
241,YOUNG,Unley,SA,"241 YOUNG, Unley, SA"
242,YOUNG,Unley,SA,"242 YOUNG, Unley, SA"
243,YOUNG,Unley,SA,"243 YOUNG, Unley, SA"
244,YOUNG,Unley,SA,"244 YOUNG, Unley, SA"
245,YOUNG,Unley,SA,"245 YOUNG, Unley, SA"
246,YOUNG,Unley,SA,"246 YOUNG, Unley, SA"
247,YOUNG,Unley,SA,"247 YOUNG, Unley, SA"
248,YOUNG,Unley,SA,"248 YOUNG, Unley, SA"
LOT68,YOUNG,Unley,SA,"LOT68 YOUNG, Unley, SA"
LOT90,YOUNG,Unley,SA,"LOT90 YOUNG, Unley, SA"
