epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,769.73,1.55464,1.30816,1.3825,0.6448,0.53374,0.57976,0.31091,1.8217,1.53742,1.59772,0.0011684,0.0011684,0.0011684
44,787.215,1.56769,1.29734,1.36834,0.63605,0.60736,0.61264,0.33649,1.78211,1.49385,1.6004,0.0011486,0.0011486,0.0011486
45,804.054,1.55795,1.27273,1.37825,0.70433,0.52614,0.61037,0.32729,1.71541,1.52997,1.55157,0.0011288,0.0011288,0.0011288
46,821.108,1.54348,1.29392,1.38964,0.73962,0.52147,0.61942,0.31214,1.76173,1.57541,1.60741,0.001109,0.001109,0.001109
47,837.801,1.59957,1.34431,1.40841,0.68364,0.53988,0.59486,0.30398,1.80227,1.49631,1.63767,0.0010892,0.0010892,0.0010892
48,857.051,1.54815,1.29514,1.39548,0.66706,0.54601,0.61798,0.33004,1.75549,1.39384,1.60388,0.0010694,0.0010694,0.0010694
49,873.559,1.53845,1.3052,1.3903,0.61593,0.57669,0.59443,0.30214,1.79785,1.62112,1.61951,0.0010496,0.0010496,0.0010496
50,890.984,1.52507,1.2445,1.34974,0.74635,0.50307,0.60997,0.31583,1.81509,1.54885,1.59315,0.0010298,0.0010298,0.0010298
51,907.167,1.50332,1.24006,1.33572,0.66093,0.58282,0.6082,0.32783,1.73987,1.43345,1.55924,0.00101,0.00101,0.00101
52,924.474,1.49045,1.22112,1.32298,0.67319,0.53077,0.60238,0.32439,1.75942,1.4878,1.56648,0.0009902,0.0009902,0.0009902
53,942.228,1.49469,1.24865,1.35313,0.64058,0.54601,0.58676,0.31031,1.74316,1.48543,1.57653,0.0009704,0.0009704,0.0009704
54,959.783,1.49118,1.21436,1.31281,0.68276,0.58896,0.642,0.34149,1.70061,1.37387,1.54471,0.0009506,0.0009506,0.0009506
55,976.613,1.46084,1.18192,1.30932,0.5843,0.61224,0.58426,0.29154,1.83653,1.6433,1.65312,0.0009308,0.0009308,0.0009308
56,993.847,1.46008,1.21322,1.31192,0.68795,0.59509,0.6538,0.34778,1.74953,1.39171,1.56747,0.000911,0.000911,0.000911
57,1011.14,1.42943,1.19766,1.33183,0.6732,0.55828,0.61054,0.31077,1.79279,1.49865,1.62074,0.0008912,0.0008912,0.0008912
58,1028.87,1.48701,1.19573,1.34294,0.6704,0.54601,0.62543,0.33797,1.75074,1.38492,1.56715,0.0008714,0.0008714,0.0008714
59,1045.5,1.42743,1.12724,1.29237,0.75115,0.51534,0.6407,0.34523,1.72596,1.39721,1.57011,0.0008516,0.0008516,0.0008516
60,1063.93,1.4466,1.22784,1.31175,0.75309,0.58896,0.67013,0.3724,1.67956,1.35894,1.52399,0.0008318,0.0008318,0.0008318
61,1081.65,1.42019,1.14424,1.30626,0.7912,0.53468,0.65209,0.34346,1.76909,1.40541,1.54263,0.000812,0.000812,0.000812
62,1099.51,1.45375,1.16561,1.30882,0.62983,0.59509,0.6319,0.33975,1.73208,1.38966,1.56762,0.0007922,0.0007922,0.0007922
63,1117.47,1.3847,1.13177,1.28125,0.69831,0.59509,0.65991,0.36568,1.7198,1.34444,1.54318,0.0007724,0.0007724,0.0007724
64,1133.94,1.38444,1.17506,1.27483,0.6619,0.57669,0.64571,0.35254,1.7398,1.30844,1.54334,0.0007526,0.0007526,0.0007526
65,1151.45,1.3866,1.11167,1.25459,0.67767,0.60623,0.65109,0.3592,1.68765,1.3435,1.55546,0.0007328,0.0007328,0.0007328
66,1170.76,1.37504,1.07091,1.28125,0.73731,0.56442,0.66896,0.36794,1.67831,1.33482,1.53427,0.000713,0.000713,0.000713
67,1188.15,1.32222,1.05913,1.22957,0.6255,0.64557,0.64981,0.34454,1.73573,1.3548,1.56846,0.0006932,0.0006932,0.0006932
68,1204.51,1.37998,1.10778,1.26561,0.63281,0.60736,0.62675,0.34168,1.69771,1.41233,1.52958,0.0006734,0.0006734,0.0006734
69,1222.08,1.36044,1.0991,1.26064,0.72172,0.57282,0.65157,0.36751,1.66459,1.30057,1.54195,0.0006536,0.0006536,0.0006536
70,1239.55,1.41298,1.13702,1.28903,0.76547,0.56068,0.65252,0.35801,1.71682,1.35772,1.55078,0.0006338,0.0006338,0.0006338
71,1256.87,1.36921,1.11028,1.26733,0.77504,0.58896,0.6821,0.37883,1.6501,1.27633,1.51816,0.000614,0.000614,0.000614
72,1273.3,1.35644,1.11297,1.26791,0.79615,0.58282,0.65627,0.35998,1.70951,1.36951,1.54211,0.0005942,0.0005942,0.0005942
73,1290.94,1.29929,1.05665,1.24899,0.71057,0.60736,0.67346,0.37302,1.67885,1.29557,1.55458,0.0005744,0.0005744,0.0005744
74,1306.99,1.33124,1.04549,1.26263,0.79635,0.52761,0.66063,0.35592,1.65543,1.3265,1.52829,0.0005546,0.0005546,0.0005546
75,1325.27,1.32731,1.02397,1.23878,0.74189,0.60123,0.67686,0.35755,1.70375,1.30312,1.54955,0.0005348,0.0005348,0.0005348
76,1342.02,1.25887,0.99255,1.20121,0.73712,0.61963,0.68346,0.37104,1.71666,1.29366,1.57474,0.000515,0.000515,0.000515
77,1359.23,1.2856,1.006,1.24005,0.71095,0.60736,0.66722,0.35682,1.72081,1.33206,1.57561,0.0004952,0.0004952,0.0004952
78,1375.81,1.27072,0.99034,1.21636,0.6997,0.64417,0.68177,0.37597,1.69856,1.35985,1.54073,0.0004754,0.0004754,0.0004754
79,1393.08,1.25277,0.96539,1.21207,0.80304,0.58896,0.65491,0.34076,1.79485,1.44423,1.61855,0.0004556,0.0004556,0.0004556
80,1411.5,1.25916,0.93223,1.21225,0.78522,0.60123,0.67498,0.36604,1.71221,1.35129,1.55857,0.0004358,0.0004358,0.0004358
81,1429.51,1.2415,0.94957,1.18801,0.75085,0.58896,0.66323,0.36789,1.69062,1.31738,1.55289,0.000416,0.000416,0.000416
82,1446.59,1.26646,0.96557,1.21281,0.77934,0.63804,0.68349,0.37398,1.7126,1.31164,1.53234,0.0003962,0.0003962,0.0003962
83,1462.81,1.28662,0.98045,1.21515,0.79395,0.55828,0.65214,0.34963,1.72041,1.3329,1.54574,0.0003764,0.0003764,0.0003764
84,1481.15,1.25558,0.96524,1.20653,0.71108,0.57669,0.63722,0.34553,1.7101,1.37593,1.56946,0.0003566,0.0003566,0.0003566
85,1497.91,1.22355,0.96911,1.18624,0.68829,0.59606,0.64132,0.34429,1.75115,1.37512,1.58172,0.0003368,0.0003368,0.0003368
86,1515.7,1.22326,0.95647,1.1915,0.71836,0.56442,0.64666,0.35889,1.70672,1.34906,1.54758,0.000317,0.000317,0.000317
